gene	exgf1.bam
ENSMUSG00000005360	20529
ENSMUSG00000005362	1658
ENSMUSG00000005364	0
ENSMUSG00000005370	676
ENSMUSG00000005371	5067
ENSMUSG00000005373	62
ENSMUSG00000005374	869
ENSMUSG00000005378	693
ENSMUSG00000005397	261
ENSMUSG00000005410	174
ENSMUSG00000005413	148
ENSMUSG00000005417	9190
ENSMUSG00000005442	3931
ENSMUSG00000005447	194
ENSMUSG00000005465	11
ENSMUSG00000005469	6436
ENSMUSG00000005470	13
ENSMUSG00000005474	0
ENSMUSG00000005481	287
ENSMUSG00000005483	1587
ENSMUSG00000005493	0
ENSMUSG00000005501	383
ENSMUSG00000005503	0
ENSMUSG00000005505	1005
ENSMUSG00000005506	5863
ENSMUSG00000005510	1263
ENSMUSG00000005514	2222
ENSMUSG00000005533	1485
ENSMUSG00000005534	1258
ENSMUSG00000005540	22
ENSMUSG00000005547	4
ENSMUSG00000005553	23
ENSMUSG00000005566	2937
ENSMUSG00000005575	3726
ENSMUSG00000005580	1256
ENSMUSG00000005583	21445
ENSMUSG00000005609	1816
ENSMUSG00000005610	19580
ENSMUSG00000005611	97
ENSMUSG00000005615	1017
ENSMUSG00000005621	989
ENSMUSG00000005625	3081
ENSMUSG00000005628	21
ENSMUSG00000005640	6
ENSMUSG00000005649	4
ENSMUSG00000005656	979
ENSMUSG00000005667	112
ENSMUSG00000005672	961
ENSMUSG00000005674	593
ENSMUSG00000005677	4
ENSMUSG00000005681	0
ENSMUSG00000005682	492
ENSMUSG00000005683	8785
ENSMUSG00000005686	553
ENSMUSG00000005687	1531
ENSMUSG00000005696	0
ENSMUSG00000005698	2019
ENSMUSG00000005699	594
ENSMUSG00000005705	8
ENSMUSG00000005716	1580
ENSMUSG00000005718	61
ENSMUSG00000005732	1842
ENSMUSG00000005763	0
ENSMUSG00000005774	489
ENSMUSG00000005779	2270
ENSMUSG00000005800	2
ENSMUSG00000005802	2857
ENSMUSG00000005803	169
ENSMUSG00000005804	1470
ENSMUSG00000005813	1172
ENSMUSG00000005823	557
ENSMUSG00000005824	0
ENSMUSG00000005836	5
ENSMUSG00000005846	1613
ENSMUSG00000005864	7
ENSMUSG00000005871	14185
ENSMUSG00000005873	10082
