gene	con2.bam
ENSMUSG00000003527	865
ENSMUSG00000003528	1097
ENSMUSG00000003531	1525
ENSMUSG00000003534	1574
ENSMUSG00000003541	257
ENSMUSG00000003545	468
ENSMUSG00000003546	643
ENSMUSG00000003549	380
ENSMUSG00000003555	0
ENSMUSG00000003559	381
ENSMUSG00000003573	129
ENSMUSG00000003575	4989
ENSMUSG00000003581	703
ENSMUSG00000003585	1593
ENSMUSG00000003604	274
ENSMUSG00000003617	620
ENSMUSG00000003623	613
ENSMUSG00000003644	368
ENSMUSG00000003657	692
ENSMUSG00000003660	3539
ENSMUSG00000003662	1549
ENSMUSG00000003665	12
ENSMUSG00000003680	415
ENSMUSG00000003721	1076
ENSMUSG00000003731	3085
ENSMUSG00000003746	887
ENSMUSG00000003752	91
ENSMUSG00000003762	848
ENSMUSG00000003778	1402
ENSMUSG00000003779	65
ENSMUSG00000003808	1040
ENSMUSG00000003809	758
ENSMUSG00000003810	5134
ENSMUSG00000003812	163
ENSMUSG00000003813	1240
ENSMUSG00000003814	14765
ENSMUSG00000003824	47
ENSMUSG00000003847	1845
ENSMUSG00000003848	828
ENSMUSG00000003849	118
ENSMUSG00000003863	6189
ENSMUSG00000003865	569
ENSMUSG00000003868	699
ENSMUSG00000003872	1498
ENSMUSG00000003873	1015
ENSMUSG00000003882	20
ENSMUSG00000003923	825
ENSMUSG00000003929	499
ENSMUSG00000003934	1843
ENSMUSG00000003948	6303
ENSMUSG00000003949	3611
ENSMUSG00000003955	755
ENSMUSG00000003970	8135
ENSMUSG00000003974	1991
ENSMUSG00000003992	1782
ENSMUSG00000004018	168
ENSMUSG00000004031	3962
ENSMUSG00000004032	3904
ENSMUSG00000004035	513
ENSMUSG00000004038	3
ENSMUSG00000004040	1162
ENSMUSG00000004043	67
ENSMUSG00000004044	921
ENSMUSG00000004054	506
ENSMUSG00000004056	2241
ENSMUSG00000004069	2106
ENSMUSG00000004070	1654
ENSMUSG00000004071	5710
ENSMUSG00000004085	185
ENSMUSG00000004096	1959
ENSMUSG00000004098	90
ENSMUSG00000004099	1528
ENSMUSG00000004100	597
ENSMUSG00000004105	92
ENSMUSG00000004110	6235
ENSMUSG00000004113	3940
ENSMUSG00000004127	227
ENSMUSG00000004151	934
ENSMUSG00000004187	20768
ENSMUSG00000004207	44017
ENSMUSG00000004221	886
ENSMUSG00000004231	5
ENSMUSG00000004233	155
ENSMUSG00000004263	323
ENSMUSG00000004264	2167
ENSMUSG00000004266	181
ENSMUSG00000004267	35759
ENSMUSG00000004268	904
ENSMUSG00000004270	502
ENSMUSG00000004285	3130
ENSMUSG00000004296	0
ENSMUSG00000004317	281
ENSMUSG00000004319	4193
ENSMUSG00000004328	49
ENSMUSG00000004341	6
ENSMUSG00000004344	0
ENSMUSG00000004347	140
ENSMUSG00000004356	583
ENSMUSG00000004359	0
ENSMUSG00000004360	1516
ENSMUSG00000004364	3419
ENSMUSG00000004366	8891
ENSMUSG00000004371	4
ENSMUSG00000004383	5034
ENSMUSG00000004393	1188
ENSMUSG00000004394	1404
ENSMUSG00000004415	192
ENSMUSG00000004446	329
ENSMUSG00000004451	473
ENSMUSG00000004455	287
ENSMUSG00000004460	1771
ENSMUSG00000004462	346
ENSMUSG00000004473	149
ENSMUSG00000004500	265
ENSMUSG00000004508	644
ENSMUSG00000004530	2433
ENSMUSG00000004535	4425
ENSMUSG00000004540	2
ENSMUSG00000004542	0
ENSMUSG00000004552	4
ENSMUSG00000004558	18524
ENSMUSG00000004561	593
ENSMUSG00000004562	633
